PID,MS SubClass,Lot Frontage,Lot Area,Lot Shape,Land Contour,Neighborhood,Bldg Type,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Total Bsmt SF,Central Air,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Mo Sold,Yr Sold,SalePrice
1659,30,90,8100,Reg,Lvl,OldTown,1Fam,5,6,1948,1973,1559,Y,1559,0,1559,1,5,0,2,812,6,2007,153500
677,20,49,15256,IR1,Lvl,Somerst,1Fam,8,5,2007,2007,1485,Y,1464,0,1464,2,6,0,3,754,8,2007,282922
1976,20,82,20270,IR1,Lvl,ClearCr,1Fam,7,6,1979,1979,1524,Y,1524,0,1524,2,7,2,2,478,4,2008,245000
42,60,50,13128,IR1,HLS,Gilbert,1Fam,8,5,2005,2005,1074,Y,1074,990,2064,2,7,1,2,527,1,2006,250000
1442,20,60,7200,Reg,Lvl,NAmes,1Fam,5,7,1950,1950,876,Y,988,0,988,1,6,0,1,276,5,2007,119000
1782,70,57,8094,Reg,Lvl,OldTown,1Fam,6,6,1915,1950,1048,Y,1048,720,1768,2,8,0,2,576,6,2009,155000
2389,85,75,9825,Reg,Low,Edwards,1Fam,5,5,1967,1967,936,Y,936,0,936,1,4,1,1,384,8,2007,118500
1657,70,60,11340,Reg,Lvl,OldTown,1Fam,2,1,1920,1950,723,N,723,363,1086,1,5,0,2,400,11,2008,55000
401,60,82,9709,IR1,Lvl,NridgHt,1Fam,8,5,2007,2007,918,Y,958,1142,2100,2,8,2,3,786,9,2007,319500
2571,50,66,21780,Reg,Lvl,Crawfor,1Fam,6,5,1920,1950,817,Y,940,610,1550,1,7,1,1,318,9,2006,195000
364,20,108,12228,Reg,Lvl,NridgHt,1Fam,7,5,2006,2006,1721,Y,1740,0,1740,2,8,0,3,874,9,2006,293000
2667,50,50,9140,Reg,HLS,IDOTRR,1Fam,6,5,1921,1975,629,Y,727,380,1107,1,5,0,1,625,4,2010,110000
130,190,100,34650,Reg,Bnk,Gilbert,2fmCon,5,5,1955,1955,1056,N,1056,0,1056,1,5,0,2,572,1,2006,145000
342,60,110,13440,Reg,Lvl,NridgHt,1Fam,8,5,2006,2007,1108,Y,1148,1402,2550,2,11,1,3,670,3,2007,338931
2620,20,100,17500,Reg,Lvl,Crawfor,1Fam,7,8,1959,2002,1902,Y,1902,0,1902,2,7,2,2,567,5,2010,335000
1438,50,60,8064,Reg,Lvl,NAmes,1Fam,6,8,1948,2004,816,Y,816,408,1224,1,5,0,1,280,5,2010,132000
1736,50,52,6240,Reg,Lvl,BrkSide,1Fam,5,7,1930,1992,1078,Y,1128,445,1573,2,8,1,2,360,6,2008,162900
2040,20,58,9280,Reg,Lvl,Edwards,1Fam,5,6,1951,1951,1342,Y,1342,0,1342,1,7,0,1,256,4,2007,125000
2905,20,76,8314,Reg,Lvl,Mitchel,1Fam,5,7,1982,1982,816,Y,816,0,816,1,5,0,1,264,6,2007,124500
970,160,24,2645,Reg,Lvl,Somerst,Twnhs,8,5,1999,2000,970,Y,983,756,1739,2,7,0,2,480,8,2009,172500
237,20,61,7930,Reg,Lvl,NAmes,1Fam,6,8,1969,2005,1026,Y,1026,0,1026,1,5,0,2,440,7,2009,156000
1824,190,60,10120,IR1,Bnk,OldTown,2fmCon,7,4,1910,1950,925,N,964,925,1889,1,9,1,1,308,1,2007,122000
2892,20,80,17400,Reg,Low,Mitchel,1Fam,5,5,1977,1977,1126,Y,1126,0,1126,2,5,1,2,484,5,2006,160000
1416,20,60,7332,Reg,Lvl,NAmes,1Fam,6,6,1959,1959,864,Y,864,0,864,1,4,0,1,288,10,2006,120000
795,20,65,7441,IR1,Lvl,SawyerW,1Fam,7,5,2006,2006,1461,Y,1486,0,1486,2,7,0,2,566,6,2007,181000
2577,70,74,11988,IR1,HLS,Crawfor,1Fam,6,7,1934,1995,715,Y,849,811,1660,1,6,1,1,240,8,2008,188700
1794,90,110,8472,IR2,Bnk,IDOTRR,Duplex,5,5,1963,1963,816,N,816,0,816,1,5,0,2,516,5,2010,110000
844,20,70,9100,Reg,Lvl,Sawyer,1Fam,5,5,1963,1963,984,Y,984,0,984,1,5,1,1,384,8,2008,128000
560,60,62,7984,IR1,Lvl,Gilbert,1Fam,7,5,2004,2005,868,Y,868,762,1630,2,7,1,2,436,9,2009,189500
1386,50,60,10836,Reg,Lvl,OldTown,1Fam,5,5,1922,1950,892,Y,1254,182,1436,1,7,1,4,1488,6,2008,139000
1563,70,42,7614,Reg,Lvl,OldTown,1Fam,3,5,1905,1950,738,Y,714,662,1376,1,7,0,1,216,3,2006,96900
464,120,34,4590,Reg,Lvl,NridgHt,Twnhs,8,5,2006,2006,1554,Y,1554,0,1554,2,6,1,2,627,5,2007,209500
1256,80,70,8163,Reg,Lvl,NAmes,1Fam,5,6,1959,1959,1144,Y,1144,0,1144,1,6,1,1,796,3,2006,143000
207,60,75,8004,IR1,Lvl,Somerst,1Fam,8,5,2009,2009,832,Y,832,1103,1935,2,8,0,2,552,12,2009,263435
2431,60,313,63887,IR3,Bnk,Edwards,1Fam,10,5,2008,2008,6110,Y,4692,950,5642,2,12,3,2,1418,1,2008,160000
2003,70,114,19950,Reg,Lvl,Edwards,1Fam,6,7,1928,1950,672,Y,1337,672,2009,2,8,2,3,795,12,2006,235000
