"","prices","beds","baths","sqft","zip","address"
"1",NA,NA,NA,NA,NA,NA
"2",206500,4,2,1402," 54914","1342 W Spencer St, Appleton, WI 54914"
"3",191100,4,1,1362," 54914","1007 N Richmond St, Appleton, WI 54914"
"4",299900,3,1,1304," 54915","W6559 E Steamboat Ln, Appleton, WI 54915"
"5",634500,5,5,3948," 54915","228 E Thornbrook Ln, Appleton, WI 54915"
"6",272500,3,2,1344," 54911","1902 N Alexander St, Appleton, WI 54911"
"7",292000,4,3,1760," 54911","1802 N Helen St, Appleton, WI 54911"
"8",262500,3,2,1348," 54911","814 E Lindbergh St, Appleton, WI 54911"
"9",285000,3,2,1893," 54911","2215 N Meade Pl, Appleton, WI 54911"
"10",220000,3,1,1235," 54914","909 W Lawrence St, Appleton, WI 54914"
"11",204277,2,1,810," 54911","104 E Marquette St, Appleton, WI 54911"
"12",439900,4,3,3079," 54913","5100 N Gala Ct, Appleton, WI 54913"
"13",230000,3,2,1176," 54914","1038 W 5th St, Appleton, WI 54914"
"14",925000,6,7,7623," 54914","1712 South Mason STREET, Appleton, WI 54914"
"15",645100,5,4,3423," 54913","220 E Flintrock Dr, Appleton, WI 54913"
"16",290713,3,3,1644," 54911","2715 N Viola St, Appleton, WI 54911"
"17",279900,3,2,1458," 54914","2208 N Linwood Ave, Appleton, WI 54914"
"18",599900,5,5,3500," 54915","4705 N Tanglewood Dr, Appleton, WI 54915"
"19",4e+05,4,4,3926," 54914","1311 S Bluemound Dr, Appleton, WI 54914"
"20",380200,4,3,2016," 54913","3928 E Braeburn Dr, Appleton, WI 54913"
"21",265000,3,2,1530," 54915","1111 South Jefferson STREET, Appleton, WI 54915"
"22",369900,3,2,1607," 54915","W6522 E Steamboat Ln, Appleton, WI 54915"
"23",260000,3,1,1386," 54911","1101 N Leminwah St, Appleton, WI 54911"
"24",685000,5,4,3441," 54915","408 Songbird Ln, Appleton, WI 54915"
"25",6e+05,5,4,5884," 54914","2 Reid Ct, Appleton, WI 54914"
"26",210000,4,2,1760," 54911","1626 N Oneida St, Appleton, WI 54911"
"27",402100,4,2,2554," 54915","2412 S Clover Ln, Appleton, WI 54915"
"28",342500,4,3,1874," 54914","137 Hillock Ct, Appleton, WI 54914"
"29",216500,2,1,1008," 54915","2424 S Horizon Dr, Appleton, WI 54915"
"30",724900,5,4,4225," 54913","5520 N Summerland Dr, Appleton, WI 54913"
"31",410000,2,2,1857," 54913","2233 E Sienna Way, Appleton, WI 54913"
"32",386900,3,2,1558," 54913","2240 E Honeygold Ct, Appleton, WI 54913"
"33",527900,3,2,2221," 54913","2875 Turquoise Ln, Appleton, WI 54913"
"34",379900,3,2,1613," 54915","W6545 E Steamboat Ln, Appleton, WI 54915"
"35",255000,3,2,1450," 54914","1115 W 5th St, Appleton, WI 54914"
"36",244000,4,2,2077," 54915","54 Fairway Ct, Appleton, WI 54915"
"37",265000,2,1,1295," 54915","225 E Coolidge Ave, Appleton, WI 54915"
"38",NA,5,6,6564," 54913","7422 N Purdy Pkwy, Appleton, WI 54913"
"39",375000,3,3,2600," 54911","1801 N Racine St, Appleton, WI 54911"
"40",285000,4,2,2149," 54914","807 W Prospect Ave, Appleton, WI 54914"
"41",267600,3,2,2020," 54915","3016 E Canary St, Appleton, WI 54915"
"42",620000,4,4,2816," 54913","4873 Canvasback Cir, Appleton, WI 54913"
"43",165000,2,2,1180," 54915","206 Royal Ct UNIT 9, Appleton, WI 54915"
"44",235000,3,2,2133," 54911","615 W 5th St, Appleton, WI 54911"
"45",130000,3,1,1400," 54914","1120 N Badger Ave, Appleton, WI 54914"
"46",233000,3,2,1689," 54911","1019 N Fair St, Appleton, WI 54911"
"47",330900,3,2,1897," 54914","924 W Lindbergh St, Appleton, WI 54914"
"48",276000,3,2,1652," 54911","1102 E Frances St, Appleton, WI 54911"
"49",268000,3,1,1682," 54911","2735 Elmwood Ct, Appleton, WI 54911"
"50",288000,3,2,1552," 54911","2512 Chestwood Ct, Appleton, WI 54911"
"51",445000,4,4,2768," 54911","3632 N Winterset Dr, Appleton, WI 54911"
"52",410000,8,4,4018," 54911","702 S State St, Appleton, WI 54911"
"53",245000,3,1,2184," 54915","824 E Harding Dr, Appleton, WI 54915"
"54",341000,4,4,2304," 54915","2731 S Wheatfield Dr, Appleton, WI 54915"
"55",5e+05,5,3,2750," 54913","2968 E Sunstone Pl, Appleton, WI 54913"
"56",559900,4,3,2563," 54915","W6611 Ethan Dr, Appleton, WI 54915"
"57",265000,4,2,2140," 54914","2216 Cloudview Ct, Appleton, WI 54914"
"58",367600,3,2,1216," 54911","2617 Oakwood Ct, Appleton, WI 54911"
