Coaster,Park,City,State,Country,Type,Height,Speed,Length,Inversions,NumInversions,Duration,Opened,AgeGroup,Continent
Batman The Ride,Six Flags Magic Mountain,Valencia,CA,US,Steel,32.004,81,822.96,Yes,5,120,1994,Newer,North America
Big Thunder Mountain Railroad,Disneyland,Anaheim,CA,US,Steel,,45.36,814.121,No,0,,1979,Oldest,North America
Boomerang,Knott's Berry Farm,Buena Park,CA,US,Steel,35.5092,76.14,284.988,Yes,3,108,1990,Newer,North America
Boomerang Coast to Coaster,Six Flags Discovery Kingdom,Vallejo,CA,US,Steel,35.5092,76.14,284.988,Yes,3,168,1998,Newer,North America
California Screamin',Disney's California Adventure,Anaheim,CA,US,Steel,,89.1,1850.75,Yes,1,156,2001,Newest,North America
Canyon Blaster,Six Flags Magic Mountain,Valencia,CA,US,Steel,,,,No,0,,1999,Newer,North America
Coastersaurus,Legoland California,Carlsbad,CA,US,Steel,5.4864,32.4,149.962,No,0,,2004,Newest,North America
Cobra,Six Flags Discovery Kingdom,Vallejo,CA,US,Steel,7.9248,35.64,359.969,No,0,,2000,Newest,North America
Colossus,Six Flags Magic Mountain,Valencia,CA,US,Wood,38.1,100.44,1318.26,No,0,150,1978,Oldest,North America
Dðjð Vu,Six Flags Magic Mountain,Valencia,CA,US,Steel,58.2168,105.3,366.979,Yes,3,92,2001,Newest,North America
Demon,California's Great America,Santa Clara,CA,US,Steel,31.0896,81,649.224,Yes,4,105,1976,Oldest,North America
Dragon,Legoland California,Carlsbad,CA,US,Steel,,,,No,0,,1999,Newer,North America
Dragon,Traintown,Sonoma,CA,US,Steel,,,,No,0,,2001,Newest,North America
Flight Deck,California's Great America,Santa Clara,CA,US,Steel,31.0896,81,688.848,Yes,3,146,1993,Newer,North America
Flying Dragon,Funderland Amusement Park,Sacramento,CA,US,Steel,,,,No,0,,1990,Newer,North America
Flying Dragon Coaster,Pixieland Amusement Park,Concord,CA,US,Steel,,,,No,0,,1995,Newer,North America
Freeway Coaster,Adventure City,Anaheim,CA,US,Steel,,,,No,0,,1994,Newer,North America
Gadget's Go Coaster,Disneyland,Anaheim,CA,US,Steel,8.2296,34.02,206.959,No,0,44,1993,Newer,North America
GhostRider,Knott's Berry Farm,Buena Park,CA,US,Wood,35.9664,90.72,1381.66,No,0,160,1998,Newer,North America
Giant Dipper,Belmont Park,San Diego,CA,US,Wood,22.2504,89.1,792.48,No,0,,1925,Oldest,North America
Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,CA,US,Wood,21.336,89.1,804.672,No,0,112,1924,Oldest,North America
Go-Gator,Kiwanis Kiddieland,Merced,CA,US,Steel,,,,No,0,,2008,Newest,North America
Gold Rusher,Six Flags Magic Mountain,Valencia,CA,US,Steel,21.336,56.7,789.432,No,0,150,1971,Oldest,North America
Goliath,Six Flags Magic Mountain,Valencia,CA,US,Steel,71.628,137.7,1371.6,No,0,180,2000,Newest,North America
Grizzly,California's Great America,Santa Clara,CA,US,Wood,27.7368,89.1,990.6,No,0,160,1986,Newer,North America
Hurricane,Santa Cruz Beach Boardwalk,Santa Cruz,CA,US,Steel,,,,No,0,,1992,Newer,North America
Incredible Express,John's Incredible Pizza Company,Roseville,CA,US,Steel,,,12.192,No,0,,2007,Newest,North America
Invertigo,California's Great America,Santa Clara,CA,US,Steel,39.9288,81,308.762,Yes,3,90,1998,Newer,North America
Jaguar!,Knott's Berry Farm,Buena Park,CA,US,Steel,19.812,56.7,793.09,No,0,120,1995,Newer,North America
Journey to Atlantis,SeaWorld San Diego,San Diego,CA,US,Steel,28.956,68.04,,No,0,300,2004,Newest,North America
Kong,Six Flags Discovery Kingdom,Vallejo,CA,US,Steel,33.2232,79.38,688.848,Yes,5,96,1998,Newer,North America
Little Dipper,Castle Amusement Park,Riverside,CA,US,Steel,,,,No,0,,,,North America
Little Dipper Coaster,Scandia Amusement Park,Ontario,CA,US,Steel,,,,No,0,,,,North America
Matterhorn Bobsleds,Disneyland,Anaheim,CA,US,Steel,24.384,,,No,0,,1959,Oldest,North America
Medusa,Six Flags Discovery Kingdom,Vallejo,CA,US,Steel,45.72,105.3,1200,Yes,7,195,2000,Newest,North America
Merlin's Revenge,Castle Amusement Park,Riverside,CA,US,Steel,8.2296,34.02,206.959,No,0,44,2001,Newest,North America
Montezooma's Revenge,Knott's Berry Farm,Buena Park,CA,US,Steel,45.1104,89.1,243.84,Yes,1,36,1978,Oldest,North America
Mulholland Madness,Disney's California Adventure,Anaheim,CA,US,Steel,,43.74,,No,0,,2001,Newest,North America
Ninja,Six Flags Magic Mountain,Valencia,CA,US,Steel,18.288,89.1,822.96,No,0,90,1988,Newer,North America
Percy's Railway,Six Flags Magic Mountain,Valencia,CA,US,Steel,3.048,16.2,106.68,No,0,,1971,Oldest,North America
Pony Express,Knott's Berry Farm,Buena Park,CA,US,Steel,13.4112,61.56,396.24,No,0,,2008,Newest,North America
Psycho Mouse,California's Great America,Santa Clara,CA,US,Steel,,,383.134,No,0,,2001,Newest,North America
Quicksilver Express,Gilroy Gardens Family Theme Park,Gilroy,CA,US,Steel,11.5824,51.84,651.967,No,0,,2001,Newest,North America
Revenge of the Mummy,Universal Studios Hollywood,Universal City,CA,US,Steel,,64.8,548.64,No,0,120,2004,Newest,North America
Revolution,Six Flags Magic Mountain,Valencia,CA,US,Steel,34.4424,89.1,1053.69,Yes,1,132,1976,Oldest,North America
Riddler's Revenge,Six Flags Magic Mountain,Valencia,CA,US,Steel,47.5488,105.3,1331.98,Yes,6,180,1998,Newer,North America
Roadrunner Express,Six Flags Discovery Kingdom,Vallejo,CA,US,Steel,3.9624,,79.8576,No,0,,1999,Newer,North America
Roar,Six Flags Discovery Kingdom,Vallejo,CA,US,Wood,28.6512,81,1003.1,No,0,,1999,Newer,North America
Roller Coaster,Fun Town at Micke Grove,Lodi,CA,US,Steel,,,,No,0,,,,North America
Roller Coaster,Rotary Playland,Fresno,CA,US,Steel,,,,No,0,,2002,Newest,North America
Roller Coaster,Blackbeard's Family Entertainment Center,Fresno,CA,US,Steel,,,,No,0,,,,North America
Rolling Thunder,Tahoe Amusement Park,South Lake Tahoe,CA,US,Steel,,,,No,0,,,,North America
Runaway Reptar,California's Great America,Santa Clara,CA,US,Steel,,,396.24,No,0,132,1987,Newer,North America
Santa Monica West Coaster,Pacific Park,Santa Monica,CA,US,Steel,16.764,,396.24,No,0,,1996,Newer,North America
Scream!,Six Flags Magic Mountain,Valencia,CA,US,Steel,45.72,102.06,1214.63,Yes,7,180,2003,Newest,North America
Screamer,Scandia Amusement Park,Ontario,CA,US,Steel,27.432,81,792.48,No,0,116,1995,Newer,North America
Screamin' Demon,Castle Amusement Park,Riverside,CA,US,Steel,9.7536,,,No,0,,2008,Newest,North America
Sea Serpent,Santa Cruz Beach Boardwalk,Santa Cruz,CA,US,Steel,,,,No,0,,2000,Newest,North America
Sierra Sidewinder,Knott's Berry Farm,Buena Park,CA,US,Steel,18.8976,59.94,429.768,No,0,,2007,Newest,North America
Silver Bullet,Knott's Berry Farm,Buena Park,CA,US,Steel,44.5008,89.1,952.5,Yes,6,150,2004,Newest,North America
Space Mountain,Disneyland,Anaheim,CA,US,Steel,,,,No,0,,2005,Newest,North America
Superman The Escape,Six Flags Magic Mountain,Valencia,CA,US,Steel,126.492,162,376.428,No,0,28,1997,Newer,North America
Tatsu,Six Flags Magic Mountain,Valencia,CA,US,Steel,51.816,100.44,1097.89,Yes,4,,2006,Newest,North America
Taxi Jam,California's Great America,Santa Clara,CA,US,Steel,,,,No,0,,1999,Newer,North America
Technic Coaster,Legoland California,Carlsbad,CA,US,Steel,15.5448,56.7,399.898,No,0,,2001,Newest,North America
Terminator Salvation: The Coaster,Six Flags Magic Mountain,Valencia,CA,US,Wood,28.956,81,876.91,No,0,180,2009,Newest,North America
Tiger Express,Oakland Zoo,Oakland,CA,US,Steel,,,,No,0,,1999,Newer,North America
Tiger Mike,Boomers,Fountain Valley,CA,US,Steel,,,,No,0,,2005,Newest,North America
Timberline Twister,Knott's Berry Farm,Buena Park,CA,US,Steel,9.144,,146.304,No,0,55,1983,Newer,North America
Timber Twister,Gilroy Gardens Family Theme Park,Gilroy,CA,US,Steel,,,,No,0,,2001,Newest,North America
Tony Hawk's Big Spin,Six Flags Discovery Kingdom,Vallejo,CA,US,Steel,16.1544,50.22,411.785,No,0,111,2008,Newest,North America
Tree Top Racers,Adventure City,Anaheim,CA,US,Steel,10.668,,274.32,No,0,,1999,Newer,North America
V2: Vertical Velocity,Six Flags Discovery Kingdom,Vallejo,CA,US,Steel,45.72,105.3,192.024,No,0,,2001,Newest,North America
Viper,Six Flags Magic Mountain,Valencia,CA,US,Steel,57.3024,113.4,1167.38,Yes,7,150,1990,Newer,North America
Vortex,California's Great America,Santa Clara,CA,US,Steel,27.7368,64.8,585.216,Yes,2,134,1991,Newer,North America
X2,Six Flags Magic Mountain,Valencia,CA,US,Steel,53.34,123.12,1100.33,Yes,2,,2002,Newest,North America
Xcelerator,Knott's Berry Farm,Buena Park,CA,US,Steel,62.484,132.84,671.17,No,0,62,2002,Newest,North America
Coaster Thrill Ride,Puyallup Fair,Puyallup,WA,US,Wood,16.764,81,807.72,No,0,105,1935,Oldest,North America
Dragon,Riverfront Park,Spokane,WA,US,Steel,,,,No,0,,,,North America
Kersplash,Puyallup Fair,Puyallup,WA,US,Steel,,,,No,0,,1995,Newer,North America
Kiddie Coaster,Wild Waves Theme Park,Federal Way,WA,US,Steel,,,,No,0,,1997,Newer,North America
Klondike Gold Rusher,Wild Waves Theme Park,Federal Way,WA,US,Steel,12.192,,,No,0,,2002,Newest,North America
Mine Twister,Remlinger Farms,Carnation,WA,US,Steel,,,,No,0,,1996,Newer,North America
Monster Mouse,Puyallup Fair,Puyallup,WA,US,Steel,,,,No,0,,,,North America
Rainbow Chaser,Fun Forest Amusement Park,Seattle,WA,US,Steel,,,,No,0,,,,North America
Timberhawk: Ride of Prey,Wild Waves Theme Park,Federal Way,WA,US,Wood,22.86,81,792.48,No,0,,2003,Newest,North America
Wildcat,Puyallup Fair,Puyallup,WA,US,Steel,,,,No,0,,1985,Newer,North America
Wild Thing,Wild Waves Theme Park,Federal Way,WA,US,Steel,,,,Yes,3,60,1997,Newer,North America
Windstorm,Fun Forest Amusement Park,Seattle,WA,US,Steel,,,440.436,No,0,,1993,Newer,North America
Big Timber Log Ride,Enchanted Forest,Turner,OR,US,Steel,,,,No,0,,1996,Newer,North America
Ice Mountain Bobsled,Enchanted Forest,Turner,OR,US,Steel,,,487.68,No,0,150,1983,Newer,North America
Looping Thunder,Oaks Amusement Park,Portland,OR,US,Steel,10.9728,,364.846,Yes,1,,1996,Newer,North America
Zoooooom,Oaks Amusement Park,Portland,OR,US,Steel,,,,No,0,,1999,Newer,North America
