"","ID","price","sqft_living","waterfront","condition","date_sold","bedrooms","bathrooms","sqft_lot","floors","view","sqft_above","sqft_basement","yr_built","year_renovated","zip_code","lattitude","longitude","nn_sqft_living","nn_sqft_lot"
"1",90,335,1030,"No","average or below",2014-09-04,2,1.75,1066,2,0,765,265,2006,2006,"98136",47.5394,-122.387,1030,1106
"2",126,1450,2750,"No","average or below",2015-03-02,4,2.75,17789,1.5,0,1980,770,1914,1992,"98004",47.6141,-122.212,3060,11275
"3",300,267.5,1590,"No","average or below",2014-05-29,3,1.75,11914,1,2,1090,500,1957,1957,"98188",47.4427,-122.274,1630,9052
"4",541,2125,5403,"Yes","good",2015-02-18,3,2.5,24069,2,4,5403,0,1976,1976,"98166",47.4169,-122.348,3980,104374
"5",932,545,2520,"No","average or below",2015-03-05,5,2.5,7863,1,0,1500,1020,1981,1981,"98034",47.7096,-122.199,2030,8580
"6",1063,790.000000000001,2840,"No","good",2014-08-13,4,2.75,11900,1,3,1640,1200,1961,1961,"98136",47.5271,-122.386,2790,10070
"7",1147,510,1860,"No","average or below",2014-10-29,3,2.5,3658,2,0,1860,0,1994,1994,"98029",47.5703,-122.004,1840,3739
"8",1313,537.249999999999,2590,"No","good",2014-10-30,4,2.5,9530,1,0,1640,950,1978,1978,"98155",47.7752,-122.285,2710,10970
"9",1535,657.5,1620,"No","good",2015-04-20,4,1.75,7560,1,3,1380,240,1947,1947,"98117",47.6981,-122.4,2170,8650
"10",1715,799,3120,"No","average or below",2014-05-16,4,3.25,5000,2,0,2370,750,2005,2005,"98115",47.69,-122.299,2520,6000
"11",1718,360,1180,"No","good",2014-08-25,2,2,3200,1,1,590,590,1945,1945,"98136",47.5275,-122.383,1350,4000
"12",1786,285,2150,"No","good",2014-12-22,4,2.25,8250,1,0,1240,910,1978,1978,"98023",47.3045,-122.378,2050,7875
"13",1840,249,1580,"No","good",2014-08-20,3,1.5,7200,1,0,1080,500,1976,1976,"98092",47.2761,-122.152,1580,7470
"14",1979,815,3488,"No","average or below",2014-05-21,4,2.75,9614,2,0,3488,0,1998,1998,"98074",47.6055,-122.013,3600,10891
"15",2052,272,1790,"No","average or below",2014-07-23,3,2.5,6371,2,0,1790,0,1998,1998,"98092",47.3291,-122.168,1850,6371
"16",2141,1700,2500,"Yes","very_good",2014-10-27,5,2,15250,2,4,2500,0,1942,1942,"98008",47.5883,-122.111,1880,18782
"17",2212,276,1140,"No","average or below",2014-05-26,3,1,5000,1,0,1140,0,1960,1960,"98106",47.5535,-122.362,1140,5000
"18",2262,273,1180,"No","good",2014-10-03,2,0.5,7750,1,0,590,590,1945,1945,"98155",47.769,-122.316,1380,8976
"19",2442,355.95,1960,"No","average or below",2014-12-17,4,2.5,8540,1,0,1220,740,1955,1955,"98177",47.7654,-122.359,1910,9120
"20",2445,3278,6840,"Yes","average or below",2014-12-10,2,1.75,10000,2.5,4,4350,2490,2001,2001,"98008",47.6042,-122.112,3120,12300
"21",2627,4500,6640,"Yes","average or below",2014-08-15,5,5.5,40014,2,4,6350,290,2004,2004,"98155",47.7493,-122.28,3030,23408
"22",2643,190,910,"No","good",2014-07-08,3,1,10575,1,0,910,0,1968,1968,"98003",47.2741,-122.301,1470,10425
"23",2748,726,2970,"No","average or below",2014-07-14,5,3,10335,2,0,2970,0,2000,2000,"98075",47.598,-122.019,2970,10335
"24",2878,195,1180,"No","average or below",2015-02-25,2,2,2553,2,0,1180,0,2005,2005,"98038",47.3501,-122.02,1310,2687
"25",3283,1003,3150,"No","good",2015-03-26,5,2.5,50094,2,0,3150,0,1969,1969,"98005",47.6387,-122.177,3600,48787
"26",3411,390,1150,"No","good",2014-09-10,2,1.75,2723,1,0,770,380,1923,1923,"98102",47.6357,-122.322,1440,4000
